SHYG	1601510400	0	regular
STIP	1604275200	0	regular
GBIL	1596412800	0	regular
SLQD	1601510400	0	regular
HYS	1601510400	0	regular
SGOV	1601510400	0	regular
USB.TO	1601251200	0	regular
PBTP	1577059200	1	respected
USB.U.TO	1598486400	0	regular
IWF	1600819200	0	regular
IWD	1600819200	0	regular
IWB	1585094400	0	regular
SHY	1604275200	0	regular
IEF	1601510400	0	regular
BIL	1588291200	0	regular
OEF	1585094400	0	regular
VONG	1593043200	0	regular
ISTB	1604275200	0	regular
PRF	1592784000	0	regular
SPTM	1592784000	0	regular
PBSFY	1526515200	2	appreciated
PBSFF	1526515200	2	appreciated
VONV	1593043200	0	regular
QTEC	1593043200	0	regular
IOO	1592179200	0	regular
IGLB	1604275200	0	regular
GPI	1219795200	12	vip
VONE	1593043200	0	regular
PRFZ	1584921600	0	regular
QYLD	1598227200	0	regular
TLH	1601510400	0	regular
SCHK	1600819200	0	regular
OMFL	1577059200	1	respected
FORTY	1568160000	1	respected
QQEW	1593043200	0	regular
QQQX	1544659200	2	appreciated
SRCE	1580688000	0	regular
ZQQ.TO	1482451200	4	inestimable
XQQ.TO	1577664000	1	respected
TVFCF	1461283200	4	inestimable
RETDF	1534809600	2	appreciated
CBO.TO	1587686400	0	regular
LTPZ	1604275200	0	regular
SRMGF	1553817600	1	respected
STPZ	1604275200	0	regular
CLF.TO	1592956800	0	regular
EQAL	1592784000	0	regular
TIPX	1604275200	0	regular
SUSB	1601510400	0	regular
ONEY	1592784000	0	regular
ONEV	1592784000	0	regular
PSB.TO	1593129600	0	regular
ILTB	1598918400	0	regular
FM	1592179200	0	regular
CLG.TO	1592956800	0	regular
QQQE	1600732800	0	regular
CBH.TO	1598313600	0	regular
ONEO	1592784000	0	regular
COWZ	1584921600	0	regular
SCHI	1604275200	0	regular
RLB.TO	1603324800	0	regular
DEUS	1584662400	0	regular
BIBL	1593129600	0	regular
CHAD	1569283200	1	respected
QQXT	1593043200	0	regular
FTN.TO	1146096000	14	emir
SPDN	1577059200	1	respected
